TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
238.352834467,-147.794,3.50867,2.17578,3.16253,2.13352,6.64924,3.88466,3.54405,2.07243,3.09807,0.86799,0.489828,-0.342502,1.62937,0.401291,1.63353,-0.152797,1.18722,2.00519,2.52951,1.10332
238.376054422,-152.876,3.5063,4.13262,5.1061,3.07754,5.61208,2.46331,3.1811,3.44859,3.64411,-0.000260255,-0.38662,0.649874,0.642547,1.66388,2.63848,0.960268,0.660626,1.22506,1.62578,2.10237
238.399274376,-152.879,5.06244,2.48911,3.0591,1.07468,3.62543,3.62723,3.31786,1.98986,2.18029,1.64548,0.868507,0.734894,1.70214,1.47329,1.27521,0.603806,1.96355,0.670661,1.6482,1.499
238.422494331,-155.188,7.43482,5.8788,5.38375,2.72738,4.76905,2.23819,3.89206,2.32357,5.45126,0.165186,-0.865781,-1.33325,1.05701,0.398939,0.360584,-1.43153,1.15361,0.0937119,3.80708,4.0163
238.445714286,-151.211,7.06449,4.7845,2.41743,0.94561,4.16436,0.827417,2.41454,2.1623,1.53382,1.23285,3.35012,4.17298,2.10397,1.71122,2.63757,1.28134,1.24747,0.047478,-0.319614,1.24721
238.468934240,-132.669,1.82968,-1.82179,-0.0425894,-1.88055,2.026,0.402793,-0.12694,0.797962,3.01412,3.0734,4.8939,3.00772,-0.577844,-1.95635,-1.0672,-0.958064,-0.206776,0.839448,1.28383,1.37471
238.492154195,-145.519,-0.91844,-3.24741,-1.79664,-2.33412,3.01467,0.0453426,-0.436892,0.932639,4.23271,2.95935,2.29141,0.210403,-0.621094,-3.10878,-3.77053,-1.97305,-0.704663,-1.22507,-0.422598,2.08925
238.515374150,-146.576,2.40271,3.37937,4.92107,-3.32668,1.27149,3.77584,3.51886,2.86009,3.23919,2.357,1.63278,1.28565,3.01397,0.531101,0.526314,0.80058,-0.136458,0.273866,1.09117,0.473976
238.538594104,-147.665,0.861258,0.204926,1.03921,-1.576,3.91965,1.57913,4.35644,4.35756,5.47493,5.18606,5.91398,2.36485,-2.30363,-4.7803,-2.9447,-0.303356,-2.07337,-2.32562,-0.233255,-0.909708
238.561814059,-148.572,2.19425,1.25842,3.65031,0.47967,2.0285,0.940376,0.137745,0.442466,3.24062,3.25058,3.03859,1.91578,1.81658,2.55278,2.60884,-0.444893,-0.308469,-1.44965,-2.07726,0.493208
